Temp,humidity,rain (mm)
-0.52,84.0,0.0
-0.56,84.4,0.0
-0.53,84.5,0.0
-0.59,84.7,0.0
-0.49,85.1,0.0
-0.42,85.1,0.0
-0.19,84.9,0.0
-0.07,84.6,0.0
-0.01,84.9,0.0
0.06,85.2,0.0
0.09,85.3,0.0
0.33,85.1,0.0
0.47,84.3,0.0
0.35,84.6,0.0
0.22,85.4,0.0
0.26,85.5,0.0
0.25,85.7,0.0
0.46,85.9,0.0
0.74,85.4,0.0
0.79,84.9,0.0
0.72,85.2,0.0
0.75,85.7,0.0
0.88,85.8,0.0
0.93,86.0,0.0
0.88,85.9,0.0
0.69,86.6,0.0
0.74,87.2,0.0
0.92,87.5,0.0
1.42,86.6,0.0
1.67,86.0,0.0
1.9,85.4,0.0
1.99,85.0,0.0
2.01,85.0,0.0
2.08,84.9,0.0
1.96,85.1,0.0
1.78,85.8,0.0
1.63,86.5,0.0
1.54,86.7,0.0
1.57,87.2,0.0
1.74,86.6,0.0
1.92,86.9,0.0
2.38,85.4,0.0
2.65,85.1,0.0
2.95,84.3,0.0
3.07,84.0,0.0
3.25,83.7,0.0
3.05,83.5,0.0
2.87,84.6,0.0
2.84,84.7,0.0
2.9,85.1,0.0
2.95,85.1,0.0
3.14,85.1,0.0
3.26,84.9,0.0
3.27,84.9,0.0
3.27,85.0,0.0
3.11,84.5,0.0
2.5,85.9,0.0
2.32,87.0,0.0
2.33,87.3,0.0
2.44,87.2,0.0
2.57,86.3,0.0
2.62,85.7,0.0
2.67,85.4,0.0
2.65,85.6,0.0
2.62,86.0,0.0
2.66,86.0,0.0
2.71,86.1,0.0
2.8,85.6,0.0
2.88,85.4,0.0
3.09,84.5,0.0
3.37,84.2,0.0
3.79,82.8,0.0
3.92,82.4,0.0
3.93,82.0,0.0
3.61,82.0,0.0
3.38,83.0,0.0
3.3,83.7,0.0
3.47,83.4,0.0
3.39,83.0,0.0
3.27,83.7,0.0
3.27,84.0,0.0
3.29,84.1,0.0
3.32,84.0,0.0
3.41,83.9,0.0
3.5,83.7,0.0
3.57,83.6,0.0
3.7,83.3,0.0
3.91,82.8,0.0
4.0,82.3,0.0
4.1,82.2,0.0
4.16,81.8,0.0
4.2,82.0,0.0
4.3,81.9,0.0
4.47,82.0,0.0
4.74,81.3,0.0
4.94,80.6,0.0
5.0,80.4,0.0
5.2,80.2,0.0
5.88,78.3,0.0
6.81,74.7,0.0
6.98,73.7,0.0
7.0,73.3,0.0
6.99,73.3,0.0
6.93,73.5,0.0
6.84,73.9,0.0
6.71,74.6,0.0
6.67,74.8,0.0
6.59,75.1,0.0
6.54,75.6,0.0
6.54,75.9,0.0
6.47,76.2,0.0
6.41,76.8,0.0
6.45,76.7,0.0
6.41,77.0,0.0
6.46,76.7,0.0
6.54,76.5,0.0
6.56,76.5,0.0
6.62,76.5,0.0
6.65,76.6,0.0
6.59,76.8,0.0
6.54,77.0,0.0
6.49,77.3,0.0
6.47,77.8,0.0
6.59,77.6,0.0
6.62,77.8,0.0
6.61,78.1,0.0
6.55,78.7,0.0
6.48,79.2,0.0
6.47,79.6,0.0
6.49,80.0,0.0
6.54,79.9,0.0
6.55,80.1,0.0
6.48,81.0,0.0
6.47,81.7,0.0
6.55,81.5,0.0
6.67,80.7,0.0
6.79,80.0,0.0
6.89,79.5,0.0
6.98,79.7,0.0
6.99,80.3,0.0
7.13,79.7,0.0
7.2,79.7,0.0
7.33,79.4,0.0
7.5,78.9,0.0
7.59,79.0,0.0
7.61,79.2,0.0
7.66,79.2,0.0
7.69,79.4,0.0
7.82,78.8,0.0
7.81,79.1,0.0
7.82,79.2,0.0
7.89,79.6,0.0
7.88,80.2,0.0
7.9,80.5,0.0
7.97,80.0,0.0
7.95,80.7,0.0
7.72,83.6,0.0
7.54,85.2,0.0
7.53,85.3,0.0
7.64,84.8,0.0
7.83,84.0,0.0
8.01,83.5,0.0
8.17,84.3,0.0
7.92,87.2,0.0
7.62,89.3,0.2
7.11,89.2,0.1
6.61,87.5,0.0
6.25,85.0,0.0
5.85,85.2,0.0
5.58,85.8,0.0
5.44,85.3,0.0
5.33,84.6,0.0
5.23,84.1,0.0
5.19,83.3,0.0
5.08,83.8,0.0
4.94,85.0,0.0
4.87,85.4,0.0
4.87,84.6,0.0
4.87,83.7,0.0
4.88,83.5,0.0
4.78,83.2,0.0
4.64,81.1,0.0
4.42,81.3,0.0
4.22,83.7,0.0
4.13,84.8,0.0
4.03,84.7,0.0
3.89,85.1,0.0
3.76,84.9,0.0
3.67,84.0,0.0
3.72,82.7,0.0
3.76,81.8,0.0
3.81,81.3,0.0
3.8,80.8,0.0
3.83,80.3,0.0
3.8,80.4,0.0
3.74,80.3,0.0
3.69,80.1,0.0
3.67,79.7,0.0
3.67,79.4,0.0
3.67,79.1,0.0
3.67,79.0,0.0
3.67,79.0,0.0
3.64,79.0,0.0
3.58,79.3,0.0
3.49,80.1,0.0
3.41,80.5,0.0
3.4,80.6,0.0
3.38,80.2,0.0
3.31,80.4,0.0
3.28,79.6,0.0
3.28,79.2,0.0
3.21,79.2,0.0
3.25,79.3,0.0
3.24,78.8,0.0
3.27,78.4,0.0
3.33,78.0,0.0
3.34,77.2,0.0
3.35,76.8,0.0
3.36,76.4,0.0
3.32,76.3,0.0
3.27,76.4,0.0
3.27,76.0,0.0
3.33,75.4,0.0
3.37,74.8,0.0
3.4,74.7,0.0
3.49,74.1,0.0
3.6,73.8,0.0
3.73,73.3,0.0
3.87,72.8,0.0
3.94,72.8,0.0
4.01,72.7,0.0
3.92,73.7,0.0
3.87,74.2,0.0
3.88,74.5,0.0
3.87,74.9,0.0
3.93,74.7,0.0
4.03,74.4,0.0
4.15,74.0,0.0
4.23,73.8,0.0
4.3,73.4,0.0
4.44,72.8,0.0
4.54,72.4,0.0
4.63,72.2,0.0
4.68,71.8,0.0
4.77,71.7,0.0
4.87,71.1,0.0
4.99,70.9,0.0
5.12,70.5,0.0
5.21,69.93,0.0
5.23,70.0,0.0
5.31,69.71,0.0
5.34,69.66,0.0
5.4,69.68,0.0
5.31,71.2,0.0
5.07,74.0,0.0
4.8,77.8,0.0
4.55,80.5,0.1
4.36,82.7,0.0
4.3,83.2,0.0
4.37,82.9,0.0
4.44,82.4,0.0
4.53,81.9,0.0
4.6,81.7,0.0
4.7,81.4,0.0
4.83,80.8,0.0
4.97,80.3,0.0
4.87,80.8,0.0
4.92,80.8,0.0
4.94,80.8,0.0
4.94,80.8,0.0
5.0,80.4,0.0
5.11,80.0,0.0
5.26,79.2,0.0
5.34,79.2,0.0
5.21,81.0,0.0
5.03,83.7,0.6
4.5,85.9,1.0
3.35,87.4,0.8
2.55,89.3,0.6
2.08,90.5,0.6
1.93,91.2,0.3
1.93,90.6,0.3
1.84,90.1,0.4
1.68,90.9,0.1
1.73,91.4,0.0
1.97,90.6,0.0
2.07,89.7,0.0
2.03,90.0,0.0
2.01,90.3,0.0
2.08,90.3,0.0
2.2,90.0,0.0
2.26,89.5,0.0
2.21,88.7,0.0
2.22,88.1,0.0
2.24,87.9,0.0
2.21,87.9,0.0
2.22,87.8,0.0
2.27,87.5,0.0
2.22,87.5,0.0
2.16,87.2,0.0
2.1,86.8,0.0
1.99,86.3,0.0
1.9,86.0,0.0
1.94,84.4,0.0
1.91,84.4,0.0
1.86,84.0,0.0
1.81,83.7,0.0
1.65,85.1,0.0
1.53,85.7,0.0
1.47,85.8,0.0
1.47,85.3,0.0
1.47,84.6,0.0
1.49,84.0,0.0
1.59,82.7,0.0
1.81,80.6,0.0
1.96,79.9,0.0
2.05,78.9,0.0
2.1,79.1,0.0
2.03,80.0,0.0
2.01,80.2,0.0
2.01,80.1,0.0
2.01,80.2,0.0
2.07,79.7,0.0
1.99,80.7,0.0
1.95,81.2,0.0
2.02,80.7,0.0
2.13,79.7,0.0
2.16,79.2,0.0
2.14,79.0,0.0
2.14,79.6,0.0
2.14,79.7,0.0
2.14,79.6,0.0
2.17,79.2,0.0
2.15,78.8,0.0
2.17,78.3,0.0
2.2,77.9,0.0
2.16,78.1,0.0
2.1,78.7,0.0
2.08,78.9,0.0
2.07,79.1,0.0
2.02,79.3,0.0
2.05,78.7,0.0
2.07,78.4,0.0
2.09,78.3,0.0
2.06,78.3,0.0
2.02,77.8,0.0
2.1,76.3,0.0
2.15,75.2,0.0
2.18,74.8,0.0
2.17,75.1,0.0
2.15,74.7,0.0
2.19,73.0,0.0
2.28,71.5,0.0
2.27,72.1,0.0
2.26,71.2,0.0
2.29,70.5,0.0
2.31,69.6,0.0
2.28,69.94,0.0
2.33,69.69,0.0
2.29,71.1,0.0
2.25,71.1,0.0
2.29,70.0,0.0
2.32,69.33,0.0
2.27,70.1,0.0
2.25,70.0,0.0
2.32,68.74,0.0
2.35,68.01,0.0
2.43,67.84,0.0
2.41,68.55,0.0
2.31,71.5,0.0
1.93,79.9,0.0
1.79,81.5,0.0
1.9,80.9,0.0
2.01,80.5,0.0
2.1,80.0,0.0
2.24,79.1,0.0
2.38,77.6,0.0
2.55,74.2,0.0
2.75,71.4,0.0
2.86,71.7,0.0
3.01,72.1,0.0
3.13,74.1,0.0
3.12,68.9,0.0
3.16,68.49,0.0
3.31,68.51,0.0
3.5,67.7,0.0
3.39,67.72,0.0
3.39,67.92,0.0
3.47,67.99,0.0
3.45,67.63,0.0
3.47,67.5,0.0
3.53,67.41,0.0
3.61,67.89,0.0
3.81,67.22,0.0
4.07,66.15,0.0
4.17,65.84,0.0
4.37,65.22,0.0
4.29,65.75,0.0
4.28,66.06,0.0
4.43,65.68,0.0
4.29,66.46,0.0
4.06,67.79,0.0
3.84,68.53,0.0
3.67,69.6,0.0
3.58,70.3,0.0
3.51,71.1,0.0
3.47,71.4,0.0
3.47,71.9,0.0
3.42,72.9,0.0
3.4,73.7,0.0
3.37,74.4,0.0
3.35,74.7,0.0
3.41,75.0,0.0
3.36,75.4,0.0
3.25,76.2,0.0
3.1,77.5,0.0
3.04,78.2,0.0
3.07,77.4,0.0
3.1,77.4,0.0
3.14,77.7,0.0
3.18,78.1,0.0
3.04,78.7,0.0
2.94,79.6,0.0
2.96,80.3,0.0
2.88,82.1,0.0
2.87,82.9,0.0
2.93,83.2,0.0
2.97,82.7,0.0
3.05,82.7,0.0
3.07,82.5,0.0
3.03,82.9,0.0
2.95,83.6,0.0
3.09,83.0,0.0
3.02,83.4,0.0
2.98,84.1,0.0
2.94,84.1,0.0
3.0,83.6,0.0
3.0,83.7,0.0
3.0,83.6,0.0
3.0,83.7,0.0
2.95,83.8,0.0
2.93,84.0,0.0
2.87,84.1,0.0
2.88,84.4,0.0
2.92,84.1,0.0
2.98,83.7,0.0
3.05,83.4,0.0
3.07,83.5,0.0
3.14,83.4,0.0
3.15,83.4,0.0
3.13,83.9,0.0
3.21,83.5,0.0
3.27,83.3,0.0
3.28,83.3,0.0
3.32,83.3,0.0
3.31,83.4,0.0
3.33,83.5,0.0
3.35,83.3,0.0
3.33,83.5,0.0
3.34,83.4,0.0
3.38,83.3,0.0
3.34,83.3,0.0
3.33,83.5,0.0
3.39,83.0,0.0
3.31,83.4,0.0
3.31,83.5,0.0
3.33,83.5,0.0
3.34,83.4,0.0
3.37,83.3,0.0
3.4,83.1,0.0
3.4,83.0,0.0
3.36,83.4,0.0
3.34,83.6,0.0
3.39,83.8,0.0
3.4,83.6,0.0
3.38,83.7,0.0
3.18,85.0,0.0
3.09,85.7,0.0
3.0,86.2,0.0
3.01,86.6,0.0
2.96,86.5,0.0
2.98,86.9,0.0
2.99,86.7,0.0
3.07,85.9,0.0
3.03,86.2,0.0
2.98,86.7,0.0
2.94,86.6,0.0
2.97,86.4,0.0
2.91,86.6,0.0
2.87,87.0,0.0
2.87,87.1,0.0
2.9,86.8,0.0
2.97,86.6,0.0
3.03,86.3,0.0
3.02,86.6,0.0
3.0,86.6,0.0
3.12,86.3,0.0
3.31,84.1,0.0
3.52,82.4,0.0
3.6,82.1,0.0
3.53,82.9,0.0
3.37,84.4,0.0
3.25,85.2,0.0
3.21,85.4,0.0
3.21,85.5,0.0
3.22,85.3,0.0
3.4,84.9,0.0
3.23,85.4,0.0
3.13,86.3,0.0
3.11,86.3,0.0
3.17,86.0,0.0
3.3,85.4,0.0
3.35,84.5,0.0
3.31,85.5,0.0
3.35,85.6,0.0
3.26,85.8,0.0
3.1,86.6,0.0
3.1,86.8,0.0
3.09,87.1,0.0
3.11,87.0,0.0
3.28,86.2,0.0
3.53,85.3,0.0
3.73,84.0,0.0
3.85,82.2,0.0
3.96,81.7,0.0
4.01,80.7,0.0
4.16,80.2,0.0
4.25,79.7,0.0
4.29,79.4,0.0
4.32,79.2,0.0
4.33,78.7,0.0
4.36,78.6,0.0
4.42,78.7,0.0
4.45,78.8,0.0
4.47,78.6,0.0
4.45,78.2,0.0
4.45,77.6,0.0
4.47,76.9,0.0
4.46,76.3,0.0
4.48,75.4,0.0
4.6,74.1,0.0
4.97,71.4,0.0
5.23,69.71,0.0
5.18,69.14,0.0
5.05,69.25,0.0
4.91,69.91,0.0
4.77,70.1,0.0
4.81,70.0,0.0
4.85,69.78,0.0
4.65,69.91,0.0
4.3,70.8,0.0
3.96,71.6,0.0
3.82,72.1,0.0
3.66,72.8,0.0
3.49,73.6,0.0
3.38,74.2,0.0
3.3,74.3,0.0
3.15,74.7,0.0
2.97,75.6,0.0
2.82,76.3,0.0
2.54,77.6,0.0
2.32,79.1,0.0
2.15,80.1,0.0
2.03,80.5,0.0
1.89,80.9,0.0
1.77,81.1,0.0
1.68,81.4,0.0
1.57,81.5,0.0
1.38,82.1,0.0
1.22,83.1,0.0
1.0,84.3,0.0
0.86,84.8,0.0
0.52,85.6,0.0
0.24,86.3,0.0
-0.03,87.6,0.0
0.03,88.1,0.0
0.17,87.7,0.0
0.06,87.8,0.0
-0.25,88.6,0.0
-0.42,89.6,0.0
-0.55,90.1,0.0
-0.66,90.4,0.0
-0.71,90.7,0.0
-0.88,90.6,0.0
-1.18,91.5,0.0
-1.29,92.3,0.0
-1.27,92.5,0.0
-1.37,92.5,0.0
-1.37,92.8,0.0
-1.35,92.5,0.0
-1.38,92.3,0.0
-1.34,92.1,0.0
-1.3,92.1,0.0
-1.11,91.9,0.0
-1.16,91.1,0.0
-1.04,91.5,0.0
-0.77,90.7,0.0
-0.71,89.6,0.0
-0.8,89.6,0.0
-0.71,89.9,0.0
-0.43,89.2,0.0
-0.31,87.8,0.0
-0.39,87.6,0.0
-0.48,87.8,0.0
-0.55,87.9,0.0
-0.28,87.7,0.0
0.21,85.0,0.0
0.16,84.7,0.0
0.08,85.0,0.0
-0.02,85.4,0.0
-0.01,85.6,0.0
0.0,85.3,0.0
-0.06,85.5,0.0
-0.03,85.6,0.0
-0.11,85.7,0.0
-0.16,86.4,0.0
-0.08,86.4,0.0
0.16,85.6,0.0
0.22,85.2,0.0
0.25,85.1,0.0
0.48,84.8,0.0
0.56,84.3,0.0
0.63,84.1,0.0
0.7,84.0,0.0
0.75,83.9,0.0
0.77,83.5,0.0
0.91,83.2,0.0
0.94,82.9,0.0
0.74,83.5,0.0
0.39,84.8,0.0
0.32,85.6,0.0
0.29,85.8,0.0
0.35,85.8,0.0
0.53,85.5,0.0
0.72,84.8,0.0
0.95,83.0,0.0
0.61,84.6,0.0
0.47,85.4,0.0
0.9,84.2,0.0
0.84,84.0,0.0
0.7,84.8,0.0
0.66,85.8,0.0
0.9,85.1,0.0
1.02,84.8,0.0
0.98,85.7,0.0
1.15,86.5,0.0
1.47,86.0,0.0
1.33,85.8,0.0
1.56,85.5,0.0
1.65,84.6,0.0
1.43,85.2,0.0
1.46,85.7,0.0
1.47,85.6,0.0
1.41,86.6,0.0
1.5,87.8,0.0
1.71,87.4,0.0
1.77,88.3,0.0
1.62,89.3,0.0
1.56,90.0,0.0
1.82,90.1,0.0
1.96,89.0,0.0
1.83,89.4,0.0
1.76,89.6,0.0
2.05,89.5,0.0
2.28,89.4,0.0
2.64,89.6,0.0
2.85,90.5,0.0
3.08,91.5,0.1
3.27,91.3,0.1
3.31,91.5,0.1
3.37,91.6,0.0
3.44,91.5,0.0
3.51,91.1,0.0
3.62,91.4,0.0
3.77,91.0,0.0
3.85,90.7,0.0
4.05,90.3,0.0
4.54,88.5,0.0
5.04,86.5,0.0
5.52,83.8,0.0
5.72,82.7,0.0
5.21,83.1,0.0
4.96,84.1,0.0
4.94,84.5,0.0
4.98,84.3,0.0
5.01,84.1,0.0
5.07,83.5,0.0
5.07,83.2,0.0
5.09,82.9,0.0
5.11,82.8,0.0
5.06,83.4,0.0
5.05,83.3,0.0
5.1,83.3,0.0
5.14,82.3,0.0
5.14,81.6,0.0
5.1,81.4,0.0
5.04,82.7,0.0
4.97,83.5,0.0
4.94,83.7,0.0
4.85,83.5,0.0
4.77,84.2,0.0
4.74,84.4,0.0
4.8,83.6,0.0
4.94,82.3,0.0
4.94,81.8,0.0
4.94,81.6,0.0
4.98,80.8,0.0
4.97,80.6,0.0
4.82,81.1,0.0
4.76,80.3,0.0
4.8,79.1,0.0
4.76,78.6,0.0
4.69,78.3,0.0
4.56,78.6,0.0
4.54,78.4,0.0
4.53,78.2,0.0
4.48,78.4,0.0
4.41,78.5,0.0
4.39,78.5,0.0
4.26,79.0,0.0
4.04,79.9,0.0
3.82,80.9,0.0
3.59,81.4,0.0
3.3,82.0,0.0
3.11,82.8,0.0
3.06,83.2,0.0
3.06,83.3,0.0
3.06,83.2,0.0
2.86,83.9,0.0
2.54,84.9,0.0
2.17,86.4,0.0
2.03,86.8,0.0
1.74,88.1,0.0
1.66,89.0,0.0
1.63,89.0,0.0
1.68,89.0,0.0
1.71,88.8,0.0
1.47,88.8,0.0
1.48,90.2,0.0
1.79,89.1,0.0
1.84,89.0,0.0
1.74,89.2,0.0
1.58,89.4,0.0
1.36,90.3,0.0
1.28,90.9,0.0
1.23,90.8,0.0
1.05,91.2,0.0
1.3,91.5,0.0
1.6,90.4,0.0
1.99,89.1,0.0
2.05,88.1,0.0
2.05,88.3,0.0
2.23,88.1,0.0
2.43,87.4,0.0
2.69,86.6,0.0
3.1,84.8,0.0
3.36,83.5,0.0
3.63,82.1,0.0
3.7,81.7,0.0
3.68,81.5,0.0
3.57,82.1,0.0
3.73,81.4,0.0
4.02,80.5,0.0
4.36,78.7,0.0
4.12,79.5,0.0
4.13,79.8,0.0
4.36,78.7,0.0
4.68,76.4,0.0
4.6,76.4,0.0
4.32,77.2,0.0
4.09,78.4,0.0
4.0,79.3,0.0
4.12,78.5,0.0
4.47,76.2,0.0
4.61,75.4,0.0
4.79,74.0,0.0
5.02,72.4,0.0
5.16,71.2,0.0
5.4,69.43,0.0
5.52,68.53,0.0
5.63,67.78,0.0
5.66,67.45,0.0
5.61,68.53,0.0
5.33,70.7,0.0
5.12,72.6,0.0
5.12,72.8,0.0
5.14,72.9,0.0
5.09,73.3,0.0
5.22,72.2,0.0
5.26,72.1,0.0
5.27,72.2,0.0
5.31,72.7,0.0
5.32,72.6,0.0
5.26,73.7,0.0
5.24,74.2,0.0
5.5,72.8,0.1
5.49,74.3,0.1
4.9,79.2,0.1
4.37,83.9,0.2
4.17,86.2,0.2
4.13,86.9,0.1
4.15,86.7,0.0
4.27,85.9,0.0
4.39,84.6,0.4
4.33,85.9,0.6
4.17,88.0,0.6
4.08,89.3,0.2
4.12,89.2,0.1
4.12,89.0,0.1
4.14,89.2,0.0
4.24,88.8,0.0
4.11,89.7,0.0
4.2,90.1,0.0
4.2,90.4,0.0
4.22,90.6,0.0
4.33,91.0,0.0
4.49,91.6,0.0
4.5,92.1,0.0
4.48,92.7,0.0
4.42,93.3,0.0
4.44,94.1,0.1
4.59,94.6,0.0
4.7,94.6,0.0
4.78,94.5,0.0
4.88,94.3,0.0
5.07,93.5,0.0
5.15,92.5,0.0
5.28,91.9,0.0
5.44,91.2,0.0
5.51,90.6,0.0
5.57,90.9,0.0
5.7,89.8,0.0
5.92,88.5,0.0
6.18,86.6,0.0
6.43,85.0,0.0
6.48,84.7,0.0
6.43,85.6,0.0
6.34,86.0,0.0
6.16,86.5,0.0
6.22,86.2,0.0
6.07,87.8,0.0
6.06,88.5,0.0
6.05,87.3,0.0
6.01,86.8,0.0
6.03,86.6,0.0
6.01,87.1,0.0
6.01,87.4,0.0
5.98,87.7,0.0
5.95,87.6,0.0
5.86,87.2,0.0
5.91,87.2,0.0
5.88,87.0,0.0
5.83,87.6,0.0
5.88,87.3,0.0
5.79,87.3,0.0
5.76,87.5,0.0
5.96,87.3,0.0
5.99,86.7,0.0
6.03,86.6,0.0
6.0,86.4,0.0
5.97,86.9,0.0
6.03,86.8,0.0
5.93,86.9,0.0
5.94,87.1,0.0
5.92,86.7,0.0
5.76,87.1,0.0
5.77,87.5,0.0
5.83,87.3,0.0
5.8,87.3,0.0
5.81,87.3,0.0
5.79,87.5,0.0
5.8,87.9,0.0
5.78,87.6,0.0
5.68,88.1,0.0
5.6,88.5,0.0
5.61,88.4,0.0
5.6,88.7,0.0
5.54,88.9,0.1
5.54,89.2,0.0
5.47,89.9,0.0
5.47,90.2,0.1
